asset,Total Raised,Total supply,Private/Pre-sale,Public sale,R1 type,R1 date,R1 Price,R1 ROI,R1 ATH ROI,R1 Raise,R1 Tokens For Sale,R1 Lock-up,R1 Min/Max personal Cap,R2 type,R2 date,R2 Price,R2 ROI,R2 ATH ROI,R2 Raise,R2 Tokens For Sale,R2 Lock-up,R2 Min/Max personal Cap,R3 type,R3 date,R3 Price,R3 ROI,R3 ATH ROI,R3 Raise,R3 Tokens For Sale,R3 Lock-up,R3 Min/Max personal Cap,R4 type,R4 date,R4 Price,R4 ROI,R4 ATH ROI,R4 Raise,R4 Tokens For Sale,R4 Lock-up,R4 Min/Max personal Cap,R5 type,R5 date,R5 Price,R5 ROI,R5 ATH ROI,R5 Raise,R5 Tokens For Sale,R5 Lock-up,R5 Min/Max personal Cap
aelf,24750000,88000000,,,ICO ,2017-12,$ 0.099,2.2x ( +119.8% ),"27.94x ( +2,693.6% )","$ 24,750,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yield-guild-games,13825000,100000000,132500000,25000000,IDO ,2021-07,$ 0.200,5.57x ( +457.5% ),"56.89x ( +5,588.9% )","$ 12,500,000","25,000,000",,$1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nkn,12600000,100000000,,,ICO ,2018-04,$ 0.130,1.13x ( +13% ),"11.42x ( +1,041.7% )","$ 12,600,000",,,1 ETH / 10 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bloktopia,5200000,20000000000,30571428571,2800000000,Private 2 ,,$ 0.000175,"62.27x ( +6,126.6% )","997.51x ( +99,651.4% )","$ 2,100,000","12,000,000,000","5% at listing, 10% distribution 2, 3, 4 & 5, 15% distribution 6, 7, 25% distribution 8",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 100,000","400,000,000","10% at listing, 20% distribution 2, 3 & 4 & 30% distribution 5",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 250,000","1,000,000,000","10% at listing, 20% distribution months 2, 3 & 4 & 30% distribution month 5",,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 250,000","1,000,000,000",,,IDO ,2021-10,$ 0.00025,"43.59x ( +4,258.6% )","698.26x ( +69,726% )","$ 100,000","400,000,000","10% at listing, 20% distribution 2, 3 & 4 & 30% distribution 5",
beta-finance,5750000,100000000,150000000,50000000,IEO ,2021-10,$ 0.06,3.75x ( +275.2% ),"76.67x ( +7,567.4% )","$ 3,000,000","50,000,000",Token distribution after the end of token sale,Max 20000 USD per user,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ampleforth,5000000,8666978,,5269156,IEO ,2019-06,$ 0.980,1.07x ( +7.02% ),4.12x ( +311.7% ),"$ 5,000,000","5,269,156",,"Maximum Contribution : 1.313 BTC - 10,512 USD

Minimum Contribution : 0.00262 BTC - 21 USD",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
utrust,21000000,50000000,,,ICO ,2017-11,$ 0.065,2.97x ( +196.9% ),"21.69x ( +2,069.2% )","$ 21,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
singularitynet,32847814,114026792,,,ICO ,2017-12,$ 0.100,0.87x ( -13% ),"18.2x ( +1,720% )","$ 32,847,814",,,No / 5 ETH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
polkastarter,,10000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qredo,17250000,96000000,72160000,40000000,ICO ,2021-07,$ 0.500,2.6x ( +160.2% ),"19.44x ( +1,843.9% )","$ 15,000,000","30,000,000","2-month lockup, unlock on or around Sept 8, 2021",$100 / $500,IDO ,2021-07,$ 0.225,5.78x ( +478.2% ),"43.2x ( +4,219.7% )","$ 2,250,000","10,000,000","6-month lockup, 12-month weekly linear release",$100 / $1000,,,,,,,,,,,,,,,,,,,,,,,,,,,
